1,0,2300000,1p36.33,hg19
1,102200000,107200000,1p21.1,hg19
1,107200000,111800000,1p13.3,hg19
1,111800000,116100000,1p13.2,hg19
1,116100000,117800000,1p13.1,hg19
1,117800000,120600000,1p12,hg19
1,120600000,121500000,1p11.2,hg19
1,121500000,125000000,1p11.1,hg19
1,125000000,128900000,1q11,hg19
1,12700000,16200000,1p36.21,hg19
1,128900000,142600000,1q12,hg19
1,142600000,147000000,1q21.1,hg19
1,147000000,150300000,1q21.2,hg19
1,150300000,155000000,1q21.3,hg19
1,155000000,156500000,1q22,hg19
1,156500000,159100000,1q23.1,hg19
1,159100000,160500000,1q23.2,hg19
1,160500000,165500000,1q23.3,hg19
1,16200000,20400000,1p36.13,hg19
1,165500000,167200000,1q24.1,hg19
1,167200000,170900000,1q24.2,hg19
1,170900000,172900000,1q24.3,hg19
1,172900000,176000000,1q25.1,hg19
1,176000000,180300000,1q25.2,hg19
1,180300000,185800000,1q25.3,hg19
1,185800000,190800000,1q31.1,hg19
1,190800000,193800000,1q31.2,hg19
1,193800000,198700000,1q31.3,hg19
1,198700000,207200000,1q32.1,hg19
1,20400000,23900000,1p36.12,hg19
1,207200000,211500000,1q32.2,hg19
1,211500000,214500000,1q32.3,hg19
1,214500000,224100000,1q41,hg19
1,224100000,224600000,1q42.11,hg19
1,224600000,227000000,1q42.12,hg19
1,227000000,230700000,1q42.13,hg19
1,2300000,5400000,1p36.32,hg19
1,230700000,234700000,1q42.2,hg19
1,234700000,236600000,1q42.3,hg19
1,236600000,243700000,1q43,hg19
1,23900000,28000000,1p36.11,hg19
1,243700000,249250621,1q44,hg19
1,28000000,30200000,1p35.3,hg19
1,30200000,32400000,1p35.2,hg19
1,32400000,34600000,1p35.1,hg19
1,34600000,40100000,1p34.3,hg19
1,40100000,44100000,1p34.2,hg19
1,44100000,46800000,1p34.1,hg19
1,46800000,50700000,1p33,hg19
1,50700000,56100000,1p32.3,hg19
1,5400000,7200000,1p36.31,hg19
1,56100000,59000000,1p32.2,hg19
1,59000000,61300000,1p32.1,hg19
1,61300000,68900000,1p31.3,hg19
1,68900000,69700000,1p31.2,hg19
1,69700000,84900000,1p31.1,hg19
1,7200000,9200000,1p36.23,hg19
1,84900000,88400000,1p22.3,hg19
1,88400000,92000000,1p22.2,hg19
1,92000000,94700000,1p22.1,hg19
1,9200000,12700000,1p36.22,hg19
1,94700000,99700000,1p21.3,hg19
